No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Label
1,Conrad Asia Energy,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
2,Conrad Asia Energy,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
3,Conrad Asia Energy,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
4,Conrad Asia Energy,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
5,Conrad Asia Energy,2024,Januari,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
6,Conrad Asia Energy,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
7,Conrad Asia Energy,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
8,PT Medco E&P Malaka,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
9,PT Medco E&P Malaka,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
10,PT Medco E&P Malaka,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
11,PT Medco E&P Malaka,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
12,PT Medco E&P Malaka,2024,Januari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
13,PT Medco E&P Malaka,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
14,PT Medco E&P Malaka,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
15,PT Pema Global Energi,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
16,PT Pema Global Energi,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
17,PT Pema Global Energi,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
18,PT Pema Global Energi,2024,Januari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
19,PT Pema Global Energi,2024,Januari,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
20,PT Pema Global Energi,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
21,PT Pema Global Energi,2024,Januari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
22,Triangle Pase,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
23,Triangle Pase,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
24,Triangle Pase,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
25,Triangle Pase,2024,Januari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
26,Triangle Pase,2024,Januari,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
27,Triangle Pase,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
28,Triangle Pase,2024,Januari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
29,Zaratex N.V.,2024,Januari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
30,Zaratex N.V.,2024,Januari,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
31,Zaratex N.V.,2024,Januari,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
32,Zaratex N.V.,2024,Januari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
33,Zaratex N.V.,2024,Januari,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
34,Zaratex N.V.,2024,Januari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
35,Zaratex N.V.,2024,Januari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
36,Conrad Asia Energy,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
37,Conrad Asia Energy,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
38,Conrad Asia Energy,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
39,Conrad Asia Energy,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
40,Conrad Asia Energy,2024,Februari,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
41,Conrad Asia Energy,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
42,Conrad Asia Energy,2024,Februari,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
43,PT Medco E&P Malaka,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
44,PT Medco E&P Malaka,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
45,PT Medco E&P Malaka,2024,Februari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
46,PT Medco E&P Malaka,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
47,PT Medco E&P Malaka,2024,Februari,Partisipasi,Knowledge Sharing Session,Memberikan edukasi K3LL kepada tim teknis BPMA,Harmonis
48,PT Medco E&P Malaka,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
49,PT Medco E&P Malaka,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
50,PT Pema Global Energi,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
51,PT Pema Global Energi,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
52,PT Pema Global Energi,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
53,PT Pema Global Energi,2024,Februari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
54,PT Pema Global Energi,2024,Februari,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
55,PT Pema Global Energi,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
56,PT Pema Global Energi,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
57,Triangle Pase,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
58,Triangle Pase,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
59,Triangle Pase,2024,Februari,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
60,Triangle Pase,2024,Februari,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
61,Triangle Pase,2024,Februari,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
62,Triangle Pase,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
63,Triangle Pase,2024,Februari,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
64,Zaratex N.V.,2024,Februari,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
65,Zaratex N.V.,2024,Februari,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
66,Zaratex N.V.,2024,Februari,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
67,Zaratex N.V.,2024,Februari,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
68,Zaratex N.V.,2024,Februari,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
69,Zaratex N.V.,2024,Februari,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
70,Zaratex N.V.,2024,Februari,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
71,Conrad Asia Energy,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
72,Conrad Asia Energy,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
73,Conrad Asia Energy,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
74,Conrad Asia Energy,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
75,Conrad Asia Energy,2024,Maret,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
76,Conrad Asia Energy,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
77,Conrad Asia Energy,2024,Maret,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
78,PT Medco E&P Malaka,2024,Maret,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
79,PT Medco E&P Malaka,2024,Maret,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
80,PT Medco E&P Malaka,2024,Maret,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
81,PT Medco E&P Malaka,2024,Maret,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
82,PT Medco E&P Malaka,2024,Maret,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
83,PT Medco E&P Malaka,2024,Maret,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
84,PT Medco E&P Malaka,2024,Maret,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
